Név,Útszakasz
010/20. számú út,1
0111/2. számú út,1
0111/3. számú Eszti út,1
0111/4. számú út,1
0117. számú út,1
0130. számú út,1
0137 hrsz,1
0158. számú út,1
016/2 számú út,1
016/2. számú út,6
0165/2. számú út,1
0165. számú út,2
0169/2. számú út,1
0169. számú út,7
0173/2. számú út,1
0173. számú út,1
0174. számú út,1
0-24 önkiszolgáló,1
029. számú út,3
0337-es utca,1
39,1
048. számú út,4
0565. számú út,4
063/12. számú út,1
063/1. számú út,1
063/3. számú út,2
06/xx,1
07/2. számú út,3
084. számú út,1
0. dűlő,2
100 lépcső,1
100m,3
100 m,1
100 m-es lőállás,1
10710/5 utca,1
10. dűlő,4
10. nyiladék,1
10. utca,2
1100 m,1
11-12. dűlő,1
1174/1 út,1
1174/2 út,1
11. dűlő,3
11-es huszár út,17
11. utca,2
1200 m,1
1-2. dűlő,1
12. dűlő,4
12. utca,2
13-14. dűlő,1
13352 hrsz. közút,3
13. dűlő,3
13. utca,2
13 vértanú utca,1
1436/6 út,1
1466 hrsz. utca,1
14. dűlő,2
"14-es villamos végállomás, Káposztásmegyer",1
14. utca,2
1523 hrsz. utca,1
15. dűlő,1
15. utca,2
16-os honvéd utca,1
16. sor,2
16. utca,2
17. híd,1
17. sor,1
17. utca,1
1896. út,5
18. sor,1
18. utca,1
19. sor,1
19. utca,1
1. dűlő,4
1-es út,1
1. körzet tanya,1
1. nyiladék,1
1sz. Bánomkerti bekötőút,1
1. sz. gátőrház,1
1 sz. Nádaskerti gyalogút,1
1. utca,3
20. sor,1
20. utca,1
21. sor,1
21. utca,2
22. utca,1
23. sor,1
23. utca,1
2410/3 út,1
2416/10 út,3
2433 út,1
24. sor,1
24. utca,2
"258 lépcsőfok, néhol pocsék állapotban (figyelj a kiálló vasakra is!)",1
25 m,1
25 m-es lőállás,3
25. sor,1
25. utca,2
26. sor,1
26. utca,1
27. sor,1
27. utca,1
28497/13 magánút,1
28497/14 magánút,1
28. sor,1
28. utca,2
2934. számú út,1
29. sor,1
29. utca,1
2. dűlő,3
2-es terminál érkezés,13
2-es terminál indulás,14
2-es út,1
2 lyukú tégla híd,1
2. nyiladék,8
2 tervezett,8
2. utca,3
300 m-es lőállás,1
30. utca,1
31. utca,1
3229. számú út,2
32. utca,2
33. utca,1
3.-4. dűlő,1
34. utca,1
35. utca,1
36. utca,1
37. utca,1
38. utca,1
39. utca,2
3-as számú bekötőút,3
3-as út,1
3. dűlő,4
3 lyukú vasbeton híd,1
3. nyiladék,3
3. travnja,2
3. utca,3
40. utca,1
41. utca,1
42. utca,1
43. utca,1
44. utca,1
45. utca,1
46. utca,2
47. utca,1
4808,9
48-as házak IX. utca,1
48-as házak VIII. utca,1
48-as házak VII. utca,1
48-as házak XI. utca,1
48-as házak X. utca,1
48-as hősök útja,2
48-as ifjúsági utca,1
48-as ifjúság útja,32
48-asok útja,2
48-as tér,12
48-as út,4
48-as utca,13
48. utca,1
498. utca,1
49. utca,1
4. dűlő,3
4-es honvéd utca,1
4-es út,1
4. nyiladék,1
4. utca,2
500 m,1
500. utca,1
501. utca,3
502. sor,3
503. utca,1
504. utca,1
505. utca,1
506. utca,1
507. utca,1
508. utca,1
509. utca,1
50m,4
50 m,2
50. utca,1
510. utca,1
511. utca,2
512. utca,1
513. utca,6
514. utca,1
515. utca,2
516. utca,1
517. utca,3
518. utca,1
519. utca,1
51. utca,1
520. utca,1
521. utca,1
522. utca,1
523. utca,1
524. utca,1
525. tér,3
526. sor,4
527. utca,1
528. utca,1
529. utca,1
52. utca,1
530. utca,1
531. utca,1
532. utca,1
533. utca,1
534. utca,1
535. utca,1
536. utca,1
537. utca,1
538. utca,1
539. utca,1
53. utca,1
540. utca,1
541. utca,1
542. utca,1
543. utca,1
544. utca,1
545. utca,1
54. utca,1
550 m,1
55. utca,1
563. utca,1
567. utca,1
5.-6. dűlő,1
56-os áldozatok emléktere,1
56-os emlékpark,1
56-os forradalom tere,1
56-os köz,1
56-osok tere,1
56-osok útja,3
56-os tér,2
575. utca (aluljáró),1
57. utca,1
58. utca,1
59. utca,1
5. dűlő,3
5. nyiladék,4
5-ös út,1
5. utca,3
600 m,1
60. utca,1
67,1
6-7.sz elkerülő út,4
6. dűlő,2
6. nyiladék,8
6-os porta bejárat,1
6-os út,1
6. utca,2
700 éves tér,2
700 m,1
788/1 utca,1
7-8. dűlő,1
7. dűlő,3
7-es út,1
7. nyiladék,1
7. utca,3
8,1
8101,1
8108,5
83-as főút,2
848/5 út,1
8518,1
857/1 út,1
8627,1
8649. utca,1
867/5 utca,1
8. dűlő,4
8. nyiladék,3
8. utca,2
900 m,1
9-10. dűlő,1
9. dűlő,2
9-es dűlő,1
9. nyiladék,1
9. utca,2
9. Југовића,1
A2,1
A3,1
A5 (Dragučova - Pince),3
A5 Entrance (Pince - Dragučova),1
A5 Exit (Dragučova - Pince),1
A5 (Pince - Dragučova),3
"""A"" alagút",2
Abádi Benedek sétány,1
Abádi tér,4
Abádi utca,1
Abádszalóki út,1
Abai út,4
Abajka utca,1
Aba körút,1
Abaligeti út,6
Abaliget utca,2
Aba-Novák út,2
Aba Novák Vilmos utca,4
Aba Sámuel köz,1
Aba Sámuel út,1
Aba Sámuel utca,2
Abasári út,2
Abasári utca,1
Aba tér,2
Abaúji utca,1
Abaujvar,1
Abaújvár utca,1
Aba út,1
Aba utca,19
Abavár utca,3
Ábel Jenő utca,4
Ábel utca,3
Abigél utca,4
Abonyfalva utca,1
Abonyi Lajos út,1
Abonyi Lajos utca,2
Abonyi út,37
Abonyi utca,4
Abony utca,2
Abos lépcső,1
Abos utca,1
Ábrahámffy utca,2
Ábrahám Géza köz,1
Ábrahám Géza utca,6
Ábrahám Pál köz,1
Ábrahám Pál utca,2
Ábrahám utca,2
Ábrai Károly utca,1
Ábránd köz,1
Ábránd utca,3
Ábránffy utca,1
Ábrányi Emil utca,4
Ábrányi Kornél tér,2
Ábrányi út,5
Ábrányúti dűlő,1
Ábra utca,1
Abroncs sor,4
Abroncs utca,1
Abrudbánya utca,1
Acélcső utca,1
Acélgyári út,3
Acélmű utca,2
Acélos dűlő,1
Acél utca,15
Áchim András tér,1
Áchim András út,1
Áchim András utca,88
Áchim L. András lakótelep,1
Áchim L. András utca,4
Áchim út,1
Áchim utca,8
Acsádi Ignác utca,1
Acsádi köz,1
Acsádi út,18
Acsádi utca,9
Acsády Ignác utca,10
Acsa híd,1
Acsai utca,3
Acsalagi út,3
Acsalapu utca,2
Acsa utca,1
Ács Ferenc utca,1
Ácsi út,26
Ácsi utca,1
Ács János utca,2
Ács József utca,2
Ács Károly utca,1
Ács köz,1
Ács Lajos utca,1
Ács utca,17
Aczél Béla utca,1
Aczél Géza utca,1
Adácsi út,3
Adácsi utca,1
Adács utca,1
Adai utca,3
Ádámföldi utca,1
Ádám Gábor utca,1
Ádám Iván utca,3
Ádám Jenő sétány,1
Ádám Jenő utca,1
Ádám László utca,4
Ádámmajor,1
Ádám út,2
Ádám utca,22
Ádámvölgy,1
Ádámvölgyi út,1
Ádám Zoltán utca,1
Ádándi utca,1
Ada utca,1
Adél köz,2
Adél utca,4
Adler Károly utca,1
Adonis utca,2
Adonyi út,23
Adonyi utca,1
Adony utca,1
Adorján köz,1
Adorjánpuszta,3
Adorjánújtelep,3
Adorján út,1
Adorján utca,2
Adótorony tér,1
ADR,1
Adriai út,1
Adriai utca,1
Adria körút,2
Adrián-tanya,1
Adriányi János utca,3
Adria sétány,12
Adria utca,10
Adrienn utca,1
Advent utca,1
Ady Endre,2
Ady Endre fasor,3
Ady Endre körút,1
Ady Endre köz,28
Ady Endre lakótelep,4
Ady Endre sétány,20
Ady Endre tér,22
Ady Endre út,345
Ady Endre utca,2182
Ady köz,17
Ady lakótelep,2
Ady lépcső,1
Ady park,1
Ady sétány,2
Ady sor,1
Ady telep,1
Ady tér,7
Ady út,9
Ady utca,112
Aelia Sabina köz,1
Afit út,1
Áfonya köz,2
Áfonyás utca,10
Áfonya tér,4
Áfonya út,3
Áfonya utca,50
Áfor út,2
Ágacska köz,2
Ágacska utca,1
Aga dűlő,1
Aga köz,3
Agancs dűlő,1
Agancs köz,1
Agancs út,6
Agancs utca,15
Agarászi utca,1
Agárdi út,1
Agárdi utca,2
Agárdy Gábor utca,1
Agármány utca,2
Agár utca,4
Ágas utca,4
Ágasvári út,18
Ágasvár utca,4
Aga utca,1
Ág-dűlő,5
Ágerdői utca,1
Ágfalva liget,2
Ágfalva utca,1
Ágfalvi út,6
Agghegy utca,3
Agg József sétány,1
Aggófű utca,1
Aggteleki utca,8
Ághegyi pincesor,1
Ághegy utca,1
Á.G. központi tanya,1
Ágnes köz,2
Ágnes út,10
Ágnes utca,16
Ágó dűlő,1
Ágói utca,1
Agorasztó Tivadar utca,1
Ágoston Ernő utca,1
Ágoston köz,1
Ágoston Péter utca,1
Ágostonpuszta,3
Ágoston tér,3
Ágoston utca,6
Agostyáni dűlő,2
Agostyáni út,13
Agostyáni utca,5
Ágota utca,10
Agráriai út,1
Ág utca,46
Agyagbányai út,1
Agyagbánya utca,1
Agyagdombi dűlő,1
Agyagfalva utca,1
Agyagfejtő utca,1
Agyaghegyi dűlő,1
Agyaghegyi köz,1
Agyagliki utca,1
Agyagos dűlő,8
Agyagoskert,2
Agyagospart,1
Agyagos utca,16
Agyag utca,16
Agyar utca,1
Ágyás utca,1
Ágyú utca,1
Aidinger János út,12
Air Cargo,1
Airport Business park,1
Ajak utca,1
Ajándék utca,2
Ajka utca,1
Ajnácskő utca,6
Ajtony köz,1
Ajtony utca,6
Ajtósi Dürer sor,14
Ajtósi Dürer utca,1
Ajtósi utca,1
Ajtóssy Albert utca,1
Ajtó utca,2
Akác domb,2
Akácdomb utca,1
Akácdűlő,2
Akác dűlő,3
Akácerdő út,1
Akácfa dűlő,5
Akácfa körút,16
Akácfa köz,12
Akácfa lakópark,1
Akácfa sor,10
Akácfasor utca,5
Akácfa út,34
Akácfa utca,499
Akácfavirág utca,1
Akácillat utca,1
Akác körút,2
Akác köz,10
Akácliget utca,1
Akácméz utca,1
Akácos dűlő,5
Akácos köz,6
Akácos pincék,1
Akácos sétány,4
Akácos sor,2
Akácos út,74
Akácos utca,178
Akácos út - Határ út,1
Akacs Mihály utca,4
Akác sor,8
Akác tér,3
Akác út,8
Akác utca,108
Akácvirág köz,3
Akácvirág út,1
Akácvirág utca,17
Akácz út,1
Akada csárda,1
akadálymentes rámpa,1
Akadály utca,1
Akadémiakert utca,1
Akadémia körút,2
Akadémia krt,1
Akadémia tér,1
Akadémia utca,17
Akadémikusok útja,1
Akai út,7
Akai utca,1
